User_Id,Place_Id,Place_Ratings
1,12,3
1,2,2
1,36,5
1,37,3
1,28,4
1,37,2
1,19,5
1,3,4
1,34,2
1,25,5
1,14,3
1,9,5
1,26,3
1,38,5
1,24,5
1,26,4
1,16,4
1,15,3
1,17,3
1,31,2
1,33,3
1,5,3
1,10,4
1,22,5
1,20,2
1,17,2
1,8,4
1,14,2
1,34,2
1,39,2
2,13,2
2,2,5
2,23,4
2,27,3
2,39,4
2,8,3
2,18,5
2,15,2
2,17,2
2,34,2
2,22,3
2,27,2
2,22,5
2,23,2
2,27,3
2,37,5
2,2,5
2,26,4
2,36,3
2,33,2
2,3,2
2,8,5
2,37,4
2,12,2
2,12,2
2,28,2
2,33,5
2,7,3
2,7,3
3,27,5
3,5,5
3,38,5
3,32,3
3,9,3
3,17,5
3,36,2
3,29,3
3,28,3
3,29,2
3,5,2
3,28,2
3,8,3
3,14,4
3,29,2
3,5,4
3,7,5
3,1,3
3,12,4
3,35,2
3,4,2
3,2,2
3,4,3
3,12,4
3,26,5
3,21,3
3,32,3
3,11,3
3,10,4
3,32,5
4,27,2
4,27,2
4,31,4
4,3,4
4,38,3
4,21,5
4,7,3
4,4,3
4,37,4
4,4,3
4,24,5
4,31,4
4,10,3
4,2,5
4,28,3
4,30,2
4,34,5
4,21,3
4,39,2
4,37,2
4,4,3
4,11,5
4,33,5
4,11,5
4,15,2
4,31,2
5,19,4
5,9,2
5,32,5
5,1,2
5,13,4
5,28,3
5,36,5
5,24,5
5,32,4
5,6,5
5,36,3
5,36,5
5,19,3
5,38,3
5,21,3
5,30,2
5,13,5
5,15,2
5,20,3
5,25,2
5,27,4
5,7,2
5,1,4
5,1,2
5,1,4
5,39,4
5,16,3
5,15,3
5,3,4
5,26,2
5,6,3
5,13,3
5,38,3
6,39,4
6,33,2
6,32,2
6,22,2
6,2,3
6,23,3
6,15,2
6,12,5
6,11,4
6,31,5
6,37,2
6,24,5
6,28,5
6,19,5
6,12,2
6,33,4
6,28,4
6,30,5
6,31,5
6,26,5
6,15,2
6,26,2
6,33,4
6,16,3
6,35,2
6,29,5
6,6,4
6,21,2
7,25,5
7,1,3
7,21,3
7,32,3
7,39,5
7,1,5
7,5,4
7,19,5
7,10,4
7,36,4
7,13,3
7,37,3
7,38,5
7,23,4
7,9,4
7,8,3
7,8,2
7,36,5
7,36,4
7,27,4
7,39,3
7,35,4
7,23,4
7,19,5
7,8,5
7,29,2
7,10,3
8,3,5
8,31,3
8,23,2
8,39,5
8,33,4
8,5,5
8,33,4
8,38,2
8,35,3
8,2,2
8,34,5
8,1,5
8,6,3
8,7,4
8,11,5
8,14,3
8,17,5
8,3,2
8,36,3
8,39,5
8,24,2
8,6,5
8,26,4
8,6,3
8,39,2
8,34,3
8,17,3
8,13,4
9,10,3
9,9,4
9,34,4
9,6,4
9,1,3
9,36,5
9,26,3
9,35,2
9,29,4
9,25,4
9,36,4
9,6,3
9,37,3
9,11,5
9,36,3
9,18,3
9,19,3
9,19,4
9,11,4
9,21,4
9,19,4
9,24,3
9,6,5
9,39,4
9,13,5
9,11,4
9,26,5
9,21,2
9,3,5
9,33,2
9,33,5
9,33,2
9,11,5
10,16,3
10,26,4
10,31,5
10,4,2
10,31,5
10,13,4
10,7,4
10,9,5
10,1,3
10,21,5
10,36,3
10,28,5
10,33,5
10,31,4
10,23,5
10,28,5
10,34,3
10,20,3
10,34,3
10,4,3
10,9,4
10,13,3
10,2,3
10,17,2
10,28,2
10,15,2
10,11,5
10,39,4
11,39,2
11,19,2
11,23,3
11,10,3
11,29,3
11,18,5
11,36,5
11,28,2
11,8,4
11,11,2
11,36,4
11,8,3
11,35,4
11,19,2
11,15,4
11,15,4
11,27,4
11,28,3
11,39,2
11,4,5
11,7,2
11,21,5
11,2,2
11,5,3
11,17,3
11,9,2
11,7,5
11,14,2
12,6,3
12,12,3
12,22,2
12,30,3
12,14,5
12,32,5
12,2,5
12,12,4
12,4,4
12,11,5
12,24,5
12,26,4
12,6,5
12,1,4
12,1,2
12,19,5
12,32,4
12,18,4
12,10,5
12,36,2
12,30,5
12,37,5
12,3,5
12,26,3
12,5,5
12,20,5
12,36,3
12,5,3
12,34,5
12,37,2
12,33,5
12,15,4
12,32,3
12,2,2
13,13,2
13,21,2
13,5,2
13,36,5
13,34,4
13,30,5
13,21,2
13,30,5
13,12,2
13,17,5
13,22,4
13,21,4
13,9,5
13,20,2
13,38,2
13,20,3
13,12,2
13,13,5
13,12,2
13,21,2
13,6,4
13,13,3
13,22,2
13,24,5
13,20,4
14,19,5
14,8,3
14,5,4
14,27,2
14,8,4
14,19,2
14,19,4
14,29,5
14,23,5
14,23,3
14,36,2
14,2,3
14,22,2
14,16,5
14,26,2
14,22,3
14,3,5
14,20,2
14,39,2
14,13,4
14,12,3
14,7,2
14,6,5
14,39,5
14,34,4
14,22,2
14,5,3
14,18,4
14,6,4
14,24,5
14,17,5
14,27,4
14,36,3
15,22,3
15,4,3
15,1,5
15,20,5
15,3,3
15,4,2
15,3,5
15,2,5
15,20,3
15,35,5
15,33,4
15,35,4
15,37,3
15,2,4
15,29,2
15,30,3
15,23,5
15,27,4
15,12,2
15,22,2
15,21,2
15,21,5
15,30,4
15,21,5
15,2,3
15,9,3
15,36,2
15,30,4
15,6,3
15,9,2
15,36,2
15,30,4
15,14,2
15,29,3
15,35,3
15,10,3
16,22,2
16,32,2
16,26,2
16,37,3
16,22,4
16,15,2
16,13,3
16,32,2
16,4,3
16,35,4
16,18,4
16,13,5
16,10,4
16,37,2
16,21,5
16,39,4
16,12,4
16,4,2
16,13,5
16,8,4
16,31,3
16,7,4
16,35,4
16,26,5
16,30,2
16,9,3
16,4,4
16,5,3
16,28,5
17,31,4
17,38,2
17,19,5
17,29,5
17,22,5
17,16,4
17,1,2
17,29,5
17,23,4
17,6,2
17,32,4
17,6,3
17,38,4
17,23,2
17,25,3
17,13,5
17,24,3
17,26,4
17,37,5
17,6,3
17,28,4
17,29,4
17,6,5
17,10,5
17,34,4
17,3,4
17,18,3
17,37,2
17,24,4
17,26,3
17,18,3
17,33,4
17,25,2
17,13,2
17,11,2
17,12,4
17,36,3
17,11,3
17,16,4
17,29,4
17,6,3
17,12,2
17,36,3
17,33,4
17,2,2
17,33,3
18,16,3
18,16,2
18,39,5
18,21,4
18,28,3
18,39,4
18,36,5
18,34,4
18,16,5
18,34,2
18,20,5
18,30,4
18,37,5
18,20,3
18,1,3
18,2,4
18,18,2
18,38,4
18,36,5
18,20,4
18,39,3
18,21,2
18,26,3
18,4,5
18,26,2
18,9,4
18,5,4
18,36,3
18,15,5
18,11,2
18,21,4
18,4,3
18,9,5
18,6,2
19,12,5
19,18,2
19,24,3
19,15,3
19,31,3
19,30,2
19,17,3
19,19,4
19,38,2
19,22,4
19,35,2
19,9,2
19,11,4
19,27,5
19,17,3
19,27,3
19,39,2
19,30,2
19,11,3
19,16,3
19,30,5
19,6,4
19,4,3
19,30,5
19,37,3
19,15,4
19,30,5
19,2,4
19,29,5
19,25,3
19,25,5
19,12,5
19,38,4
19,31,5
19,30,3
19,20,4
19,29,4
19,7,3
19,8,4
19,26,5
19,31,5
19,4,3
19,27,4
19,14,2
20,9,3
20,9,2
20,28,2
20,13,3
20,33,5
20,30,5
20,15,3
20,38,3
20,24,3
20,5,2
20,31,3
20,24,2
20,35,4
20,7,4
20,21,4
20,35,2
20,38,3
20,6,5
20,2,4
20,2,3
20,19,2
20,5,5
20,29,3
20,36,2
20,36,4
20,5,5
20,11,4
20,38,2
20,32,2
20,6,3
20,15,3
20,21,3
20,5,2
20,37,2
21,29,5
21,9,4
21,35,3
21,34,2
21,7,5
21,10,4
21,3,3
21,33,4
21,37,2
21,7,4
21,16,2
21,4,4
21,32,3
21,3,4
21,29,5
21,37,3
21,26,3
21,2,2
21,29,2
21,19,2
21,32,5
21,3,2
22,33,4
22,9,2
22,13,4
22,35,5
22,37,5
22,14,3
22,5,2
22,32,4
22,3,2
22,12,5
22,35,3
22,32,5
22,12,3
22,18,2
22,20,2
22,6,3
22,20,3
22,13,2
22,24,4
22,9,5
22,38,2
22,37,2
22,7,3
22,4,3
22,14,4
22,16,3
22,8,2
22,35,5
22,9,4
23,18,4
23,16,2
23,26,4
23,23,5
23,12,3
23,15,5
23,20,4
23,37,2
23,18,4
23,10,3
23,12,4
23,1,2
23,32,5
